Genus,Species
Acteon,hebes
Echiostoma,barbatum
Acanthonus,armatus
Ipnops,meadi
Coryphaenoides,carapinus
Stenella,coeruleoalba
Benthobia,tryonii
Pachycara,bulbiceps
Amauropsis,sphaeroides
Limea,pygmaea
Stephanoberyx,monae
Spirotropis,aganactica
Bathybela,tenelluna
Coryphaenoides,leptolepis
Petromyzon,marinus
Pentacheles,validus
Pseudobathylagus,milleri
Poromitra,oscitans
Exilioidea,atlantica
Fulgurofusus,benthocallis
Ziphius,cavirostris
Serrivomer,sector
Ptychosyrinx,carynae
Pareledone,turqueti
Bathybelos,typhlops
Nucula,atacellana
Platytroctes,apus
Halosauropsis,macrochirus
Eudendrium,planum
Sphyrna,gilberti
Sphyrna,tudes
Sphyrna,corona
Stegostoma,tigrinum
Odontodactylus,scyllarus
Hexabranchus,sanguineus
Scarus,frenatus
Scarus,zelindae
Calotomus,japonicus
Scarus,ferrugineus
Cetoscarus,bicolor
Scarus,psittacus
Laticauda,saintgironsi
Laticauda,colubrina
Laticauda,schistorhynchus
Laticauda,semifasciata
Periophthalmus,barbarus
Periophthalmodon,schlosseri
Magnapinna,pacifica
Magnapinna,talismani
Joubiniteuthis,portieri
Lutra,lutra
Odobenus,rosmarus
Chlorurus,sordidus
Ambystoma,mexicanum
Lutra,felina
Caperea,marginata
Tergipes,tergipes
Necturus,maculosus
Torpedo,torpedo
Hydrophis,platura
Amblyrhynchus,cristatus
Amblydoras,monitor
Crocodylus,acutus
Odontodactylus,brevirostris
Odontodactylus,latirostris
Chrysomallon,squamiferum
Nanocopia,minuta
Symbion,pandora
Manania,gwilliami
Ammonicera,minortalis
Ammonicera,sculpturata
Ammonicera,familiaris
Macrodasys,caudatus
Diuronotus,aspetos
Macrocystis,pyrifera
Hippopus,hippopus
Prosopium,abyssicola
Alligator,mississippiensis
Hyporthodus,niveatus
Jenkinsia,lamprotaenia
Anaora,tentaculata
Phalacrocorax,africanus
Phalacrocorax,auritus
Phalacrocorax,campbelli
Phalacrocorax,carbo
Phalacrocorax,featherstoni
Phalacrocorax,gaimardi
Phalacrocorax,magellanicus
Phalacrocorax,onslowi
Phalacrocorax,pelagicus
Phalacrocorax,ranfurlyi
Trichechus,senegalensis
Trichechus,inunguis
Syringodium,filiforme
Pickfordiateuthis,pulchella
Halodule ,wrightii
Thalassia,testudinum
Halodule,uninervis
Halophila,stipulacea
Amazonsprattus,scintillans
Engraulis,mordax
Engraulis,anchoita
Engraulis,japonicus
Engraulis,capensis
Castor,canadensis
Castor,fiber
Fratercula,arctica
Fratercula,corniculata
Puffinus,gavia
Puffinus,huttoni
Puffinus,nativitatis
Puffinus,puffinus
Fratercula,cirrhata
Riftia,pachyptila
Metasepia,pfefferi
Histrionicus,histrionicus
Bucephala,albeola
Anas,crecca
Clangula,hyemalis
Lepas,anserifera
Argyrops,spinifer
Castor,canadensis
castor,fiber
Convoluta,convoluta
Prostheceraeus,vittatus
Pseudobiceros,hancockanus
Pseudoceros,liparus
Thysanozoon,nigropapillosum
Tubulanus,polymorphus
Lineus,longissimus
Eulalia,viridis
Alitta,virens
Sabella,spallanzanii
Spirobranchus,giganteus
Spirobranchus,corniculatus
Mytilus,edulis
Pecten,maximus
Spondylus,americanus
Teredo,navalis
Pholas,dactylus
Cerastoderma,edule
Ensis,directus
Tridacna,crocea
Tridacna,squamosa
Tridacna,noae
Tridacna,maxima
Patella,lugubris
Tectus,fenestratus
Tectus,pyramis
Tectus,royanus
Haliotis,rubra
Haliotis,sorenseni
Haliotis,planata
Haliotis,midae
Haliotis,kamtschatkana
Haliotis,gigantea
Haliotis,corrugata
Puperita,pupa
Nucella,lapillus
Murex,trapa
Murex,tenuirostrum
Murex,pecten
Cyphoma,gibbosum
Charonia,tritonis
Charonia,variegata
Charonia,lampas
Littorina,littorea
Bullina,lineata
Bullina,vitrea
Cyerce,nigricans
Cyerce,elegans
Cavolinia,tridentata
Aplysia,punctata
Aplysia,brasiliana
Aplysia,dactylomela
Aplysia,depilans
Chromodoris,lochi
Chromodoris,tumulifera
Chromodoris,tritos
Chromodoris,thompsoni
Chromodoris,striatella
Chromodoris,quadricolor
Chromodoris,ponga
Chromodoris,orientalis
Chromodoris,obsoleta
Chromodoris,neona
Chromodoris,michaeli
Chromodoris,macfarlandi
Chromodoris,leopardus
Chromodoris,kempfi
Chromodoris,hamiltoni
Chromodoris,grahami
Chromodoris,epicuria
Chromodoris,daphne
Chromodoris,coi
Chromodoris,clenchi
Chromodoris,britoi
Chromodoris,boucheti
Chromodoris,aspersa
Chromodoris,africana
Chromodoris,albopunctata
Chromodoris,annae
Hermissenda,crassicornis
Nautilus,stenomphalus
Enteroctopus,megalocyathus
Enteroctopus,zealandicus
Loligo,forbesii
Tonicella,insignis
Tonicella,lineata
Sepia,vermiculata
Pycnogonum,litorale
Colossendeis,megalonyx
Colossendeis,colossea
Pollicipes,polymerus
Pollicipes,pollicipes
Semibalanus,balanoides
Ligia,exotica
Orchestia,grillus
Acanthephyra,purpurea
Palaemon,serratus
